PMID,label,method
34260280,text mining,cryo-electron microscopy and three-dimensional image reconstruction
34253842,both,Latent classes analysis
34253822,computer vision,convolutional neural network
34229189,other,probabilistic deep learning
34214380,both,quota sampling method
34193945,text mining,RT-qPCR
34180414,text mining,pre-post intervention
34153749,other,crowd-sourced traffic congestion data
34112870,text mining,Time-of-Flight magnetic resonance angiography
34098894,text mining,3D reconstruction
34088965,text mining,univariate analysis
34087509,other,YOLO v4-based object recognition
34061714,text mining,iatrogenic malocclusion
34035821,computer vision,self-administered structured questionnaire
34017001,other,deep learning
33979791,other,PPM-Unet
33978619,computer vision,Self-administrated questionnaire
33976268,text mining,combining radiomic phenotypes with ctDNA and clinical variables
33976261,text mining,multivariate two-window algorithm
33967603,text mining,clinical-radiomics nomograms
33957941,both,dose comparison
33955203,text mining,artificial intelligence-based analysis method
33947823,text mining,Modified Early Warning Score
33946042,text mining,support vector machine (SVM)
33890153,both,radiomics analysis
33880950,other,Scopus (1970-2020) and Web of Science
33866191,text mining,Radiomics
33845467,text mining,radiomics models
33755708,text mining,high-resolution computed tomography
33746587,text mining,radiomics nomogram
35782182,other,machine learning methods and state-of-the-art deep learning techniques
33733690,computer vision,Three-dimensional turbo spin echo T1-weighted imaging
33729998,other,iSARF
33714060,text mining,model
33689614,both,Multivariate analysis
33661457,both,natural infection model
33651718,both,deep-learning-based metric
33648427,both,A comprehensive eye examination
33614787,text mining,radiomics nomogram
33577791,computer vision,automated
33551439,both,computed tomography/computed tomography
33544680,other,anamorphic depth embedding-based lightweight CNN
33531581,text mining,deep learning algorithm
33531192,other,deep-learning-based methods
33526872,other,quantitative automated image processing and computational methods
33515071,both,logistic regression
33485794,text mining,Fluorodeoxyglucose-positron emission tomography
33480966,text mining,cross-sectional
33461270,computer vision,Object-Based Image Analysis (OBIA)
33457181,other,Spread Forecasting for Epidemiology
33454863,both,interview questionnaire
33436786,both,Cardiac magnetic resonance
33419476,both,Multivariate analysis
33406287,both,retrospective dietary survey
33377226,text mining,quantitative high-throughput microscopy
33368989,text mining,literature search
33359195,text mining,transthoracic echocardiography
33328086,text mining,Deep learning-based radiological image analysis
33323599,computer vision,Multivariate analysis
33297550,computer vision,automated smartphone application
33275187,other,Transfer Learning and Stacked Generalization
33269331,text mining,An ecological design
33262137,other,deep learning
33260362,computer vision,algorithm aimed to track and compute animal motion in real time
33239006,other,AI imaging analysis tool
33233532,both,region-growing algorithm
33231160,computer vision,Deep Learning models
33215473,other,deep learning (DL)/convolutional neural networks (CNNs) technology
33211991,computer vision,multivariate linear regression models
33208341,other,Machine Learning Algorithms
33197567,text mining,linear mixed models
33188678,both,a large US registry of OHCAs
33138092,other,low-cost depth sensors
33128014,text mining,targeted RNA-sequencing and single-molecule RNA-FISH
33127510,both,cross-fostering
33124471,text mining,Depression Anxiety Stress Scale
33120622,both,An open online survey
33118707,text mining,whole slide digital cytology
33108800,text mining,Decision curve analysis
33094700,computer vision,Grid Search
33073426,computer vision,generative adversarial network
33065825,both,Depression Anxiety and Stress Scale
33046515,text mining,whole-tissue slides from 215 treatment-naïve PDACs
33046116,text mining,Multi-task Unet network
33025386,computer vision,class activation maps (CAM).
33009551,text mining,hierarchical functional principal regression model
32973220,computer vision,primary radiochemotherapy
32970733,text mining,Multiple logistic regression
32937867,computer vision,SRCNet
32929383,text mining,FDG-PET of LUAD
32920988,text mining,Machine-learning analytics
32905440,both,KNIME Image Processing extension
32882867,computer vision,Poisson regression models
32864598,other,deep-learning and feature-based algorithms
32848013,text mining,structural imaging
32839619,text mining,automated machine-learning-based analysis pipeline
32816908,both,image-based algorithm
32814641,text mining,supervised deep learning algorithm
32813684,text mining,natural language processing algorithm
32813110,text mining,computerized search
32802427,text mining,video-assisted thoracoscopic surgery
32796848,other,deep learning algorithms
32794618,both,routinely collected retinal screening datasets
32788705,other,deep learning
32781943,other,ensemble predictive method
32740104,other,maximum-weight dependence tree
32714080,text mining,traditional quantitative and radiomics approaches
32682522,text mining,digital image processing
32680929,text mining,Different segmentation methods
32675538,both,cure models
32663230,computer vision,convolutional neural network
32659235,text mining,chest radiographs
32626751,other,incremental feature selection
32606081,computer vision,human grading following a standard national protocol as the reference standard
32601743,text mining,semiautomated pixel-based thresholding
32591831,other,DeepBrainNet
32588200,other,Convolutional Neural Network
32587169,both,online survey
32563178,text mining,BI-RADS
32555646,other,deep learning and histopathology images
32546168,text mining,recurrence-free survival analysis
32540962,both,multiple statistical methods
32522523,text mining,persistent positive swab
32511486,other,Linear regression
32459781,text mining,manually drawing the region of interest on computed tomographic images
32450409,both,The Depression Anxiety Stress Scale
32437737,text mining,big data techniques
32417949,text mining,MIL approach
32410409,text mining,dynamic contrast-enhanced (DCE) magnetic resonance (MR) imaging
32405305,both,cross-sectional survey
32376611,computer vision,artificial intelligence-enabled algorithm
32375854,text mining,quantitation of collagen in the tumor microenvironment
32365124,computer vision,automated image recognition software
32365038,other,24-hour dietary recall
32353054,text mining,multivariable logistic regression analysis
32303599,text mining,semiquantitative metrics
32294107,other,computational pathology
32273256,text mining,CT-based characteristics of subsolid pulmonary nodules
32203706,both,CT algorithm
32193889,text mining,non-invasive screening method
32185196,both,brain stereotactic technology
32174985,text mining,ultrasonography
32166491,both,analysis of radiomics features
32165702,both,CNN models
32145749,text mining,logistic and Cox regression
32134976,computer vision,deep learning
32132448,text mining,Cobb measurement method
32074564,both,quantitative ultrasound
32060317,text mining,echocardiography
32050938,computer vision,computer vision techniques
32033372,both,Multivariate logistic regression
31942867,text mining,Multivariate regression analysis
31927535,text mining,"automatic segmentations of white matter signal abnormalities

Different measurements"
33777591,computer vision,virtual audits of neighborhood characteristics
31860791,text mining,deep learning
31844890,both,"randomized, controlled trial"
31830586,text mining,PubMed
31775675,text mining,receiver operator characteristic curves
31754135,other,CNN segmentation algorithm
31730638,other,automated ANN-based analysis
31727075,text mining,multivariate
31722061,text mining,radiomic
31696769,both,retrospective analysis
31677071,text mining,analytic morphomics
31676839,other,Identifying the waist circumference of risk
31647198,text mining,ddPCR
31636101,other,pathology-based computational method using a deep neural network architecture
31617191,other,live cell confocal laser scanning microscopy
31616792,both,red reflex test
31603807,computer vision,deep convolutional neural network
31597446,text mining,semi-automatic image analysis of digital retinal photographs
31593377,text mining,Monte Carlo simulation
31584965,text mining,chest CT examination
31582386,text mining,balloon-assisted coil technique
31577560,other,computational
31569054,text mining,multidimensional nomogram
31561750,both,modified murine HAND model
31522983,text mining,grading models
31462093,text mining,microcomputed tomography
31447001,text mining,GGO ratio and CT value
31446979,text mining,computed tomography
31433715,text mining,logistic regression analysis
31426787,text mining,computed tomographic pulmonary angiography
31412800,both,SmartEye quantitative analysis
31377444,text mining,Morris water maze and novel object recognition tests
31375514,text mining,Kaplan-Meier/Cox regression
31369680,text mining,ivariate analyses
31360877,other,Bayesian lasso regression
31356617,computer vision,Google Street View images
31345388,text mining,quantitative CT image-biomarkers
31344318,both,CT pulmonary angiography
31319940,computer vision,Random Forests
31302303,text mining,Using the French National Health Insurance Database
31293092,both,visual and semiquantitative interpretation methods
31273015,both,Cross-sectional Child Health CheckPoint
31272932,text mining,covariate-adjusted standardized estimates of brain atrophy into a logistic regression
31270136,other,automated segmentation
31248956,text mining,automated CT image analysis
31243076,other,machine learning algorithms
31230138,both,Bayesian classifier
31228956,other,deep learning model
31218571,text mining,tri-modality method
31141684,text mining,RNA interference-based screening of the human kinome
31129097,both,correlation analysis
31124406,both,cross-sectional study
31109371,text mining,univariate analysis
31096987,text mining,Mechanical dispersion
31064210,computer vision,computer-aided image processing of Doppler ultrasonography measurements
31061781,both,regression models
31060602,both,automated image analysis
31045814,text mining,Radiomics
31037405,text mining,modified computed tomography (CT) mapping analysis
31033450,text mining,serial neuropsychological evaluations
31003547,other,mobile food record
30989810,text mining,SERS
30989462,text mining,correlative analysis
30961576,both,mydriatic bio-microscopy
30948914,both,multi-echo Dixon and HISTO sequences
30931893,text mining,cross-sectional retrospective analytical studies
30925543,both,"three tracers showing glucose metabolism, proliferation and hypoxia"
30915523,text mining,PET/CT radiomics
30910753,text mining,Automated Volumetric Analysis
30850506,text mining,post hoc
30825609,text mining,Bone texture analysis
30810443,text mining,non-model-based analysis
30744591,text mining,post hoc analysis
30738383,both,magnetic resonance imaging
30714446,text mining,positron emission tomography (PET)/computed tomography
30697755,computer vision,conditional logistic regression
30688396,text mining,Kaplan-Meier survival analysis
30684508,both,objective reading system
30681560,text mining,retrospectively analyzed 3D reconstructions of head and neck computed tomography
30679548,text mining,brain MRI
30670066,text mining,computer-based
30652410,text mining,Kaplan-Meier and Cox-regression
30651403,text mining,imaging mass spectrometry
30642750,both,PyRadiomics platform
30640961,computer vision,CNN's is an important method for autonomous identification
30638157,text mining,retrospective cohort study
30629194,computer vision,"deep learning""-based visual evaluation algorithm"
30617134,text mining,"integrated clinical, histopathologic, and molecular evaluation"
30613271,text mining,positron emission tomography
30594212,text mining,Fully automated
30545395,text mining,Cumulus software
30543181,other,Structured Illumination Microscopy
30508315,text mining,experimental methodology
30474390,both,self-administered questionnaire
30473381,other,deep convolutional neural networks
30461166,both,computer analysis
30455488,both,A descriptive cross-sectional survey based on the questionnaire
30452414,text mining,autopsy
30421052,both,NBI
30397175,text mining,Meier (KM) analysis
30371899,text mining,Monte Carlo random sampling and NCICT organ dose calculator
30362976,text mining,"Surveillance, Epidemiology and End Results database"
30327304,text mining,biopsies pretherapy and posttherapy
30312381,both,Mixed-effects linear regression models
30305823,both,Multistage random sampling method
30299563,text mining,Kaplan-Meier method
30293793,text mining,coronary CT angiography
30252971,other,software algorithms
30224313,text mining,Lasso-Cox regression model
30179157,text mining,immunohistochemistry
30151641,text mining,MRI
30144583,text mining,Fine-Gray method
30117304,text mining,retrospective database
30102441,text mining,Texture analysis
30092877,text mining,computer-aided
30092817,text mining,fully automated software
30076784,both,CT-scanned
30076016,text mining,systematic MRC
30067421,text mining,Pre-treatment CT radiomics
30054441,both,Time-to-event analysis
30040728,text mining,Magnetic Resonance Imaging
30013082,text mining,CT imaging
30009803,text mining,QLAB cardiac analysis software
29991684,both,deep convolutional neural network
29967326,text mining,positron emission tomography
29959636,text mining,image analysis
29953478,text mining,dynamic 18F-FET PET acquisition
29910166,text mining,radiomics analysis
29906495,both,ANOVA
29902492,text mining,multiplex one-step RT-PCR
29883657,both,Age and gender corrected linear and logistic mixed effects models
29881936,computer vision,univariate analysis
29869171,other,density-based computed tomography
29868439,text mining,support vector regression
29807094,text mining,Optical coherence tomography
29787817,other,pattern recognition technique
29782314,text mining,MSmetrix
29778641,both,linear and Cox regression models
29772320,both,magnetic resonance imaging
29759033,both,Ultrasound examinations
29707848,text mining,Linear regression analyses
29698402,text mining,new method proposed by the International TILs Working Group in breast cancer
29679199,text mining,retrospectively examined
29668855,text mining,Generalized Estimating Equations
29668337,text mining,ultrasound-based speckle-tracking method
29660005,text mining,T1 subtraction maps
29630755,text mining,Utilizing fat-water decomposition MRI
29617764,text mining,Electroanatomical voltage mapping
29614075,both,Principal component analysis
29605026,text mining,Cox regression model
29603310,text mining,FINE
29603032,text mining,Immunohistochemical staining
29578488,text mining,Voxel-based morphometry
29570898,both,connectivity map normalization
29557996,text mining,synthesised 2D mammography screening
29543803,text mining,serological detection
29536664,both,depth sensor
29527504,both,MMRE
29523876,both,oral glucose tolerance test
29506884,both,quantitative imaging
29480574,both,Kaplan-Meier method
29477586,text mining,multiple comparison correction
29463881,text mining,digital image analysis
29437032,text mining,stratified block randomisation
29417491,text mining,linear mixed models
29406921,text mining,magnetic resonance imaging
29392583,both,machine learning
29380093,text mining,quantitative computed tomography
29360944,text mining,MRI
29356927,text mining,image-guided LSTT
29352405,computer vision,a convolutional neural network
29339516,text mining,computed tomography
29335255,computer vision,computer vision methods
29330698,text mining,computer-assisted method
29319785,text mining,Simultaneous PET/MR
29289482,text mining,computer-assisted image processing
29226428,text mining,risk stratification
29214611,text mining,stress SPECT myocardial perfusion imaging
29214466,text mining,forward stepwise linear discriminant analysis
29209885,text mining,retrospective
29188296,both,Generalized estimating equations
29176345,other,Diabetes Case Management
29176296,text mining,immunohistochemically
29137847,text mining,Multivariable linear predictor model
29089824,text mining,computerized search
29088037,text mining,Advanced Multimodality Imaging Techniques
29063241,text mining,multivariable logistic regression analysis
29057859,both,retrospective
29056541,computer vision,artificial intelligence
29053416,both,Single-Photon Emission Computed Tomography
29043847,text mining,CT scan data
28982554,both,GENUS Consortium sample collection
28980750,both,self-administered questionnaire
28935073,text mining,intracoronary imaging
28918752,text mining,phase-contrast MRI
28912536,text mining,intravoxel incoherent motion (IVIM) model
28901595,text mining,Voxel-based morphometry from high-resolution MRI
28899429,text mining,voxel-wise survival analysis
28892454,other,computed tomography imaging data
28886850,text mining,transcatheter aortic valve implantation
28879654,text mining,propensity score matching
28877713,text mining,digital images
28871171,text mining,quantitative ultrasound (QUS) parametric imaging
28871110,text mining,transfer learning
28854587,both,Eeva™ test
28814802,text mining,fractal dimension (FD) and lacunarity analyses
28811482,both,CNB
28809063,text mining,FINE
28770462,text mining,receiver-operating-characteristic curve
28765056,both,predictive modelling
28750592,text mining,retrospectively reviewed
28742195,both,susceptibility-weighted imaging
28637308,text mining,semi-automatic software
28632764,both,two-field imaging protocol
28627046,text mining,Sera from 79 patients
28560599,both,TA of the FLR
28536896,both,cardiac magnetic resonance
28505063,both,retinal vessel analyzer' software
28477686,text mining,MRI
28456317,text mining,appropriate grading
28445292,both,immunohistochemical analyses
28425944,text mining,Fibre Supplementation
28404971,text mining,generalized Q-space imaging (GQI) algorithm
28403562,both,performing a systematic review
28370719,text mining,graph theory techniques
28369332,text mining,Randomized comparison
28343599,text mining,novel plaque software
28300680,text mining,retrospective
28299034,text mining,lifestyle modification education
28213204,text mining,MRI scanning
28202699,text mining,multivariable Cox regression models
28139684,text mining,"induction, maintenance and re-induction therapy"
28132392,text mining,DXA
28127203,text mining,3-dimensional liver extraction volumetry program
28124572,other,delta method
28083822,text mining,Tomosynthesis
28076974,both,diffusion MRI-based multifiber tractography
28057031,text mining,Kaplan-Meier method
28046024,text mining,SAS approach
28027761,text mining,retrospective
28010956,text mining,retrospective analysis
28008170,both,multivariable regression analysis
27989445,both,local histogram analysis
27981917,both,automated diabetic retinopathy image assessment software
27927939,both,diffusion-weighted imaging
27923068,text mining,fluorescence-expressing genetically tagged herpes recombinants
27913960,text mining,patient cohort
27899699,other,genotyping
27892881,text mining,independent quantitative coronary angiography
27861206,text mining,anthropomorphic phantom model
27855516,text mining,noninvasive
27567723,both,magnetic resonance images
27806835,both,regression analysis
27775850,both,fluorescence in situ hybridization
27743747,other,Magnetic Resonance Imaging
27743433,text mining,semi-automated
27729430,other,digital microscopy with sophisticated image analysis
27723905,text mining,retrospective
27718766,text mining,positron-emission tomography/computed tomography
27565465,text mining,retrospective
27547726,text mining,empirically derived ROIs
27542320,text mining,computerized dot memory paradigm
27518438,text mining,systematic literature review to determine the prevalence and pattern of imaging
27488598,text mining,Diffusion-MRI
27487240,both,heat map visualization technique
27445295,text mining,coronary angiography
27436306,text mining,Cardiac magnetic resonance
27429218,text mining,statistical classification approaches
27424032,text mining,linear mixed modelling
27423681,text mining,Computer-assisted quantification of computed tomography
27423658,text mining,3T magnetic resonance
27387822,text mining,MRI
27383509,both,Bland and Altman approach
27379544,text mining,retrospective
27378769,both,cardiac magnetic resonance (CMR) imaging with quantitative T2 mapping
27367905,other,Enteroviral
27354958,text mining,voxel-based morphometry
27329640,text mining,digital system
27320249,text mining,magnetic resonance imaging scan
27279624,text mining,uncoating
27271785,both,"multiple linear regression, linear mixed-effects modeling, and Cox proportional hazards"
27267420,other,Hunting Down HIV-1 Gag Proteins
27255402,text mining,cardiac magnetic resonance (CMR) imaging
27254040,both,structured questionnaire
27241088,text mining,illustrating their characteristic clinical features
27217502,text mining,Brief picture description analysis
27174351,text mining,retrospective
27170746,text mining,long-term live cell imaging strategy
27148825,text mining,computer-assisted image analysis
27124335,both,Nucleotyping
27098094,text mining,descriptive work of the prevalence of location and malignancy
27077667,both,quantitative image analysis
27012361,text mining,imaging postprocessing
26967227,text mining,Voxel-based morphometry
26957909,text mining,coronal magnetic resonance imaging
26956624,both,binary logistic regression analysis
26916072,text mining,DIA
26867167,both,renal dynamic imaging
26851209,text mining,magnetic resonance imaging
26850628,text mining,64-slice computed tomography
26830088,text mining,log-rank test
26828465,text mining,computed tomography
26825350,text mining,multivariable regression models
26743161,computer vision,Logistic regression
26742795,text mining,3-dimensional high-resolution black blood magnetic resonance imaging
26717257,text mining,Cox regression
26703026,text mining,lateral nasal and premaxillary mucoperiosteal flaps
26640768,other,surface-based shape analyses
26577264,both,2-dimensional speckle tracking echocardiography
26525650,text mining,operator-independent algorithms
26507436,other,digital image analysis
26452403,text mining,cardiac magnetic resonance imaging
26446068,text mining,MRI and diffusion tensor imaging (DTI) measures
26429961,both,noninvasive imaging technique
26416614,both,Analyze™10.0
26401943,text mining,MRI
26384157,text mining,Immunohistochemistry analysis
26356029,text mining,volumetric analyses
26335224,text mining,positron emission tomography
26300077,text mining,structural equation modeling
26285779,text mining,bootstrap cross-validation methods
26275367,text mining,dynamic contrast enhanced T1 magnetic resonance imaging
26221719,both,PoopMD
26199132,text mining,Cox regression models
26180805,other,internet
26178732,both,digital image processing (DIP) techniques
26164031,other,free boundary conditions-based object detection
26151176,text mining,4-days of food and beverage images
26120782,text mining,computational image mapping
26116458,text mining,microdensitometric image-processing
26085175,text mining,iterative reconstruction algorithm
26074066,other,molecular model
26035836,both,automated computer-based multi-lesion eye screening program
26028332,text mining,CT scans
26022540,text mining,multivariate Cox proportional hazards model
25979575,text mining,analysis of covariance (ANCOVA).
25912463,text mining,3.0 T MRI
25862008,text mining,immunohistochemistry
25840573,text mining,positron emission tomography/computed tomography
25813066,text mining,etiologic subtypes
25802206,text mining,Computed tomography
25762465,text mining,diffusion tensor magnetic resonance imaging
25702140,text mining,Computed tomography
25666755,both,Multiple regression analyses
25665953,text mining,computed tomography
25660737,text mining,Infrared thermography
25599638,other,object-based image analysis
25582500,text mining,stepwise regression analysis
25574052,computer vision,multimodality grading approach
25457391,text mining,retrospective
25359645,both,3D evaluation software
25329322,other,genetic association analysis
25315195,text mining,voxel-based morphometry
25297850,text mining,imaging analysis software
25287527,text mining,cardiac magnetic resonance
25281321,text mining,quantitative tissue-based endpoints
25281221,text mining,2D phase contrast MRI
25274548,text mining,mail or telephone interviews
25239572,both,first follow-up (within 30 days) CT after events
25213883,both,double inversion recovery sequence
25196422,other,AFM images
25192607,both,gadoxetic acid-enhanced MRI
25149549,text mining,immunohistochemistry
25126612,text mining,coimmunoprecipitation
25074719,both,All the patients underwent MRI
25066838,text mining,quantitative image analysis software
25064017,text mining,Univariate analysis
25046620,text mining,immunohistochemistry
25031032,text mining,voxel-wise quantitative lesion analysis
25016594,text mining,rank-based method
24943801,other,image-matching system
24912621,text mining,ionizing radiation
24850492,both,proton magnetic resonance spectroscopy
24825566,both,population-based
24800257,both,shear wave velocity imaging method
24798123,text mining,QCT analysis
24692132,text mining,SSDM
24631670,text mining,transmission electron microscopy (TEM) and image analysis
24604592,both,qPET
24582013,text mining,quantitatively using 6 preset bony regions of interest
24524830,text mining,statistical analyses of variability
24508595,text mining,Multivariate proportional hazards regression analysis
24503670,text mining,NCCT
24481975,text mining,Cox proportional hazards regression analyses
24463406,text mining,computed tomography
24441580,text mining,venous imaging
24399375,text mining,structural equation modelling
24368558,both,diffusion-weighted imaging
24361200,both,GSM) analysis
24349146,text mining,General linear models
24336313,text mining,A CT
24330333,text mining,high-resolution black-blood carotid MRI
24314719,text mining,brain MRI data from baseline
24313617,text mining,combined analysis
24262328,text mining,modified Rankin Scale
24221645,text mining,magnetic resonance imaging
24203846,both,therapeutic hypothermia
24186912,text mining,diffusion-weighted imaging
24174588,text mining,Cox regression models
24151368,text mining,fuzzy classification method
24144170,text mining,retrospective
24139196,text mining,report on the baseline social and clinical characteristics of the sample population
24113877,text mining,anatomical landmarks rather than tumor boundaries
24110720,other,automatic
24096545,both,Quantitative multi-gene fluorescence in situ hybridization
24096008,both,Patient Health Questionnaire
24075599,text mining,unweighted κ statistics and asymmetry χ(2) tests
24057166,text mining,proteome
23994073,text mining,retrospective data analysis
23962756,text mining,univariate and multivaraite regression statistics
23958256,both,Univariate and multivariate linear regression analyses
23867148,text mining,PCR
23828164,text mining,biopsies
23736287,both,ex vivo preparation
23719838,text mining,stress myocardial perfusion imaging (MPI) is unknown
23714732,text mining,radionuclide imaging
23591554,text mining,multivariate analysis
23582041,both,Multiple logistic regression analysis
23579092,text mining,univariate and multivariate analysis
23566165,both,Wisconsin manual stereo-grading method
23558343,text mining,upper lip measurement
23546909,text mining,endoscopic endonasal transsphenoidal approach
23540296,text mining,The N/T quotient
23538059,both,customized software
25722829,computer vision,automatically estimate a set of quantitative measurements
23516103,text mining,differential diagnosis
23437413,computer vision,computer vision
23420546,text mining,stereotactic body radiotherapy
23393208,text mining,susceptibility-weighted imaging
23366821,other,image-processing and computational anatomy techniques
23315063,both,Semi-automated morphometric analysis
23312758,both,frontolateral route
23262247,text mining,CPA and Ishak staging
23208064,text mining,observational
23199001,text mining,functional magnetic resonance imaging
23193977,text mining,computer assisted manual segmentation
23192650,text mining,PubMed database
23139174,both,automated computer-assisted Pap test
23124603,both,multivariately
23064429,text mining,retrospectively
23022900,both,logistic regression analysis
23010066,both,Gamma knife radiosurgery
22982661,text mining,EC20 imaging
22975902,text mining,STAMP method
22973737,both,subjective methods
22973030,text mining,cryo-electron microscopy and image reconstruction
22959277,text mining,PET-derived imaging markers
22917672,text mining,MRI
22911921,other,whole-body MRI
22908997,both,fluorescence imaging
22906963,text mining,DNA image cytometry
22906107,both,three-dimensional electroanatomic mapping
22841652,text mining,landmark-based geometric morphometric technique
22840415,text mining,retrospective case-control study
22818172,text mining,retrospectively
22812426,other,automatic pixel-based classification method
22790685,text mining,mass spectroscopic analysis
